CountVectorizer_0,Multinomial_0,Filtros,max_df,min_df,Accuraci
0,0,0,0.9,100,0.8415237758529256
1,0,0,0.9,100,0.863178363089977
0,0,0,0.9,90,0.8524836485769842
1,0,0,0.9,90,0.8689234576630723
0,0,0,0.9,80,0.8641506098638855
1,0,0,0.9,80,0.8764362736432738
0,0,0,0.9,70,0.8695421601555595
1,0,0,0.9,70,0.8789994696835779
0,0,0,0.8,100,0.8428495669082553
1,0,0,0.8,100,0.8646809262860173
0,0,0,0.8,90,0.8527488067880502
1,0,0,0.8,90,0.8705144069294679
0,0,0,0.8,80,0.8635319073713983
1,0,0,0.8,80,0.8786459254021566
0,0,0,0.8,70,0.8700724765776914
1,0,0,0.8,70,0.8802368746685523
0,0,0,0.7,100,0.8452359908078487
1,0,0,0.7,100,0.8658299452006364
0,0,0,0.7,90,0.8555771610394202
1,0,0,0.7,90,0.8717518119144423
0,0,0,0.7,80,0.8658299452006364
1,0,0,0.7,80,0.8789994696835779
0,0,0,0.7,70,0.8727240586883507
1,0,0,0.7,70,0.8816510517942372
0,0,0,0.6,100,0.8463850097224678
1,0,0,0.6,100,0.8660951034117023
0,0,0,0.6,90,0.8569913381651052
1,0,0,0.6,90,0.8720169701255083
0,0,0,0.6,80,0.8670673501856108
1,0,0,0.6,80,0.8792646278946438
0,0,0,0.6,70,0.8731659890401273
1,0,0,0.6,70,0.8822697542867244
0,0,1,0.9,100,0.8515997878734312
1,0,1,0.9,100,0.8684815273112957
0,0,1,0.9,90,0.8602616227682517
1,0,1,0.9,90,0.873077602969772
0,0,1,0.9,80,0.8670673501856108
1,0,1,0.9,80,0.8789994696835779
0,0,1,0.9,70,0.8733427611808379
1,0,1,0.9,70,0.8823581403570797
0,0,1,0.8,100,0.8515114018030758
1,0,1,0.8,100,0.8697189322962701
0,0,1,0.8,90,0.8615874138235814
1,0,1,0.8,90,0.8746685522361676
0,0,1,0.8,80,0.8683931412409405
1,0,1,0.8,80,0.8802368746685523
0,0,1,0.8,70,0.8746685522361676
1,0,1,0.8,70,0.8825349124977904
0,0,1,0.7,100,0.8531023510694714
1,0,1,0.7,100,0.8703376347887573
0,0,1,0.7,90,0.8607919391903835
1,0,1,0.7,90,0.8745801661658122
0,0,1,0.7,80,0.8690118437334277
1,0,1,0.7,80,0.8808555771610395
0,0,1,0.7,70,0.8750220965175888
1,0,1,0.7,70,0.8835955453420541
0,0,1,0.6,100,0.8541629839137352
1,0,1,0.6,100,0.8707795651405339
0,0,1,0.6,90,0.8633551352306876
1,0,1,0.6,90,0.875905957221142
0,0,1,0.6,80,0.8713982676330211
1,0,1,0.6,80,0.8811207353721053
