Escala de gris,Alpha,Grupo,Accuraci
10,0.1,[1 1],0.6707
10,1,[1 1],0.6433
10,1e-05,[1 1],0.625
10,1e-07,[1 1],0.6015
10,0.001,[1 1],0.6517
10,0.1,[2 2],0.6369
10,1,[2 2],0.6218
10,1e-05,[2 2],0.5954
10,1e-07,[2 2],0.5816
10,0.001,[2 2],0.6181
10,0.1,[2 1],0.6491
10,1,[2 1],0.6276
10,1e-05,[2 1],0.6091
10,1e-07,[2 1],0.5961
10,0.001,[2 1],0.6283
10,0.1,[4 4],0.5954
10,1,[4 4],0.6004
10,1e-05,[4 4],0.563
10,1e-07,[4 4],0.5555
10,0.001,[4 4],0.5784
64,0.1,[1 1],0.6715
64,1,[1 1],0.6433
64,1e-05,[1 1],0.6266
64,1e-07,[1 1],0.6123
64,0.001,[1 1],0.6529
64,0.1,[2 2],0.6379
64,1,[2 2],0.6218
64,1e-05,[2 2],0.5971
64,1e-07,[2 2],0.5849
64,0.001,[2 2],0.6199
64,0.1,[2 1],0.6497
64,1,[2 1],0.6283
64,1e-05,[2 1],0.6107
64,1e-07,[2 1],0.5992
64,0.001,[2 1],0.6283
64,0.1,[4 4],0.5951
64,1,[4 4],0.6002
64,1e-05,[4 4],0.5649
64,1e-07,[4 4],0.5587
64,0.001,[4 4],0.5799
128,0.1,[1 1],0.6718
128,1,[1 1],0.6429
128,1e-05,[1 1],0.6269
128,1e-07,[1 1],0.6119
128,0.001,[1 1],0.6528
128,0.1,[2 2],0.6378
128,1,[2 2],0.6217
128,1e-05,[2 2],0.5967
128,1e-07,[2 2],0.585
128,0.001,[2 2],0.6196
128,0.1,[2 1],0.6493
128,1,[2 1],0.6286
128,1e-05,[2 1],0.6112
128,1e-07,[2 1],0.5988
128,0.001,[2 1],0.6286
128,0.1,[4 4],0.5955
128,1,[4 4],0.6005
128,1e-05,[4 4],0.565
128,1e-07,[4 4],0.5588
128,0.001,[4 4],0.5801
255,0.1,[1 1],0.672
255,1,[1 1],0.6436
255,1e-05,[1 1],0.6269
255,1e-07,[1 1],0.6142
255,0.001,[1 1],0.6529
255,0.1,[2 2],0.6381
255,1,[2 2],0.622
255,1e-05,[2 2],0.5979
255,1e-07,[2 2],0.5869
255,0.001,[2 2],0.6201
255,0.1,[2 1],0.6495
255,1,[2 1],0.6287
255,1e-05,[2 1],0.6114
255,1e-07,[2 1],0.601
255,0.001,[2 1],0.6293
255,0.1,[4 4],0.5955
255,1,[4 4],0.6
255,1e-05,[4 4],0.5652
255,1e-07,[4 4],0.559
255,0.001,[4 4],0.5806
