Escala de gris,Alpha,Grupo,Accuraci
10,1e-05,[1 1],0.6677
10,1e-07,[1 1],0.6677
10,0.001,[1 1],0.6677
10,1e-05,[2 2],0.6543
10,1e-07,[2 2],0.6543
10,0.001,[2 2],0.6543
10,1e-05,[2 1],0.659
10,1e-07,[2 1],0.659
10,0.001,[2 1],0.659
10,1e-05,[4 4],0.6413
10,1e-07,[4 4],0.6413
10,0.001,[4 4],0.6413
64,1e-05,[1 1],0.6677
64,1e-07,[1 1],0.6677
64,0.001,[1 1],0.6677
64,1e-05,[2 2],0.655
64,1e-07,[2 2],0.655
64,0.001,[2 2],0.655
64,1e-05,[2 1],0.6592
64,1e-07,[2 1],0.6592
64,0.001,[2 1],0.6592
64,1e-05,[4 4],0.6416
64,1e-07,[4 4],0.6416
64,0.001,[4 4],0.6416
128,1e-05,[1 1],0.6676
128,1e-07,[1 1],0.6676
128,0.001,[1 1],0.6676
128,1e-05,[2 2],0.6547
128,1e-07,[2 2],0.6547
128,0.001,[2 2],0.6547
128,1e-05,[2 1],0.6593
128,1e-07,[2 1],0.6593
128,0.001,[2 1],0.6593
128,1e-05,[4 4],0.6412
128,1e-07,[4 4],0.6412
128,0.001,[4 4],0.6412
255,1e-05,[1 1],0.6671
255,1e-07,[1 1],0.6671
255,0.001,[1 1],0.6671
255,1e-05,[2 2],0.6543
255,1e-07,[2 2],0.6543
255,0.001,[2 2],0.6543
255,1e-05,[2 1],0.6592
255,1e-07,[2 1],0.6592
255,0.001,[2 1],0.6592
255,1e-05,[4 4],0.6411
255,1e-07,[4 4],0.6411
255,0.001,[4 4],0.6411
